country,designation,price,variety,province
US,Martha's Vineyard,235.0,Cabernet Sauvignon,California
Spain,Carodorum Selección Especial Reserva,110.0,Tinta de Toro,Northern Spain
US,Special Selected Late Harvest,90.0,Sauvignon Blanc,California
US,Reserve,65.0,Pinot Noir,Oregon
France,La Brûlade,66.0,Provence red blend,Provence
Spain,Numanthia,73.0,Tinta de Toro,Northern Spain
Spain,San Román,65.0,Tinta de Toro,Northern Spain
Spain,Carodorum Único Crianza,110.0,Tinta de Toro,Northern Spain
US,Silice,65.0,Pinot Noir,Oregon
US,Gap's Crown Vineyard,60.0,Pinot Noir,California
Italy,Ronco della Chiesa,80.0,Friulano,Northeastern Italy
US,Estate Vineyard Wadensvil Block,48.0,Pinot Noir,Oregon
US,Weber Vineyard,48.0,Pinot Noir,Oregon
France,Château Montus Prestige,90.0,Tannat,Southwest France
US,Grace Vineyard,185.0,Pinot Noir,Oregon
US,Sigrid,90.0,Chardonnay,Oregon
US,Rainin Vineyard,325.0,Cabernet Sauvignon,CA
Spain,6 Años Reserva Premium,80.0,Tempranillo,Northern Spain
France,Le Pigeonnier,290.0,Malbec,Southwest France
US,Gap's Crown Vineyard,75.0,Pinot Noir,California
US,Grignolino,24.0,Rosé,CA
Spain,Prado Enea Gran Reserva,79.0,Tempranillo Blend,Northern Spain
Spain,Termanthia,220.0,Tinta de Toro,Northern Spain
US,Giallo Solare,60.0,Chardonnay,California
US,R-Bar-R Ranch,45.0,Pinot Noir,California
New Zealand,Maté's Vineyard,57.0,Chardonnay,Kumeu
US,Shea Vineyard,62.0,Pinot Noir,Oregon
US,Abetina,105.0,Pinot Noir,Oregon
US,Garys' Vineyard,60.0,Pinot Noir,California
US,The Funk Estate,60.0,Syrah,Washington
Bulgaria,Bergulé,15.0,Mavrud,Bulgaria
US,Babushka,37.0,Chardonnay,CA
Italy,Vigna Piaggia,,Sangiovese,Tuscany
France,Nonpareil Trésor Rosé Brut,22.0,Sparkling Blend,France Other
US,Conner Lee Vineyard,42.0,Chardonnay,Washington
Italy,Riserva,135.0,Sangiovese,Tuscany
France,,60.0,Rhône-style White Blend,Rhône Valley
Italy,,29.0,Sangiovese,Tuscany
Italy,,23.0,Sangiovese,Tuscany
Italy,Riserva,29.0,Red Blend,Tuscany
Spain,Amandi,17.0,Mencía,Galicia
Spain,Alfonso Oloroso Seco,26.0,Palomino,Andalucia
US,Private Reserve,55.0,Petite Sirah,Idaho
Italy,Riserva,39.0,Red Blend,Tuscany
France,Coteaux,69.0,Syrah,Rhône Valley
Italy,Vigneto Odoardo Beccari Riserva,30.0,Red Blend,Tuscany
Italy,Poggio alle Mura,90.0,Sangiovese,Tuscany
US,Estate Grown,60.0,Cabernet Sauvignon,California
Italy,,50.0,Sangiovese,Tuscany
US,,40.0,Cabernet Sauvignon,Washington
Italy,Riserva,100.0,Sangiovese,Tuscany
France,,68.0,Chardonnay,Burgundy
France,Les 7 Hommes,42.0,Sauvignon Blanc,Loire Valley
France,L'Inédit,28.0,Pinot Noir,Loire Valley
US,,18.0,Chardonnay,California
US,Four Flags,69.0,Cabernet Sauvignon,Washington
France,Le Pavé,,Sauvignon Blanc,Loire Valley
US,Reserve,25.0,Riesling,New York
US,Final Final,30.0,Cabernet Sauvignon-Syrah,Washington
Italy,Poggio Bestiale,60.0,Red Blend,Tuscany
Argentina,The Apple Doesn't Fall Far From The Tree,30.0,Malbec,Mendoza Province
Australia,,36.0,Pinot Noir,Victoria
Argentina,Alegoría Gran Reserva,25.0,Malbec,Mendoza Province
France,L'Homme Mort Premier Cru,45.0,Chardonnay,Burgundy
Portugal,,23.0,Portuguese Red,Alentejano
US,Estate Select,36.0,Syrah,California
France,Fourchaume Premier Cru,38.0,Chardonnay,Burgundy
US,Animo,85.0,Cabernet Sauvignon,California
US,Schindler Vineyard,50.0,Pinot Noir,Oregon
US,Barrel Select,60.0,Cabernet Sauvignon,California
US,District Collection,85.0,Cabernet Sauvignon,California
US,,45.0,Pinot Noir,California
Italy,Bussia Riserva,,Nebbiolo,Piedmont
US,,19.0,Pinot Gris,Oregon
Portugal,Premium,15.0,Portuguese Red,Alentejo
US,Premier Cuvée,54.0,Pinot Noir,Oregon
France,Le Nombre d'Or Brut Nature,85.0,Chardonnay,Champagne
US,Juliana Vineyard,38.0,Sauvignon Blanc,California
US,,28.0,Cabernet Sauvignon,California
Italy,Boscato,75.0,Nebbiolo,Piedmont
US,Aeolian,42.0,Pinot Noir,Oregon
Israel,Reserve,25.0,Cabernet Sauvignon,Upper Galilee
Italy,Palliano Riserva,,Nebbiolo,Piedmont
Italy,del Comune di Serralunga d'Alba,59.0,Nebbiolo,Piedmont
Italy,Bricco Luciani,85.0,Nebbiolo,Piedmont
Italy,Bricco Gattera,80.0,Nebbiolo,Piedmont
France,Montmains Premier Cru,45.0,Chardonnay,Burgundy
US,,22.0,Cabernet Sauvignon,California
US,Bacigalupi Vineyard,65.0,Pinot Noir,California
US,Magnificat,50.0,Meritage,California
US,,10.0,Cabernet Sauvignon,California
Portugal,Marquês de Marialva Rosé Bruto,12.0,Baga,Beira Atlantico
Italy,Nature,22.0,Glera,Veneto
US,Small Lot Blend,13.0,Chardonnay,California
Portugal,Muros de Vinha,10.0,Portuguese Red,Douro
France,Château Beauvillain-Monpezat,14.0,Malbec-Merlot,Southwest France
US,,18.0,Chardonnay,CA
US,,36.0,Cabernet Sauvignon,CA
France,Pigmentum,15.0,Merlot-Malbec,Southwest France
